Segmento	CNPJ	Nome
S3	92894922	ORIGINAL - PRUDENCIAL
S3	59285411	PAN
S3	62144175	PINE - PRUDENCIAL
S3	1181521	SICREDI - PRUDENCIAL
S3	61533584	SAOCIETE GENERALE - PRUDENCIAL
S3	59109165	VOLKSWAGEN - PRUDENCIAL
S4	33824012	ADVALOR DTVM LTDA
S4	92856905	ADVANCED CC LTDA
S4	10663610	AF DESENVOLVE SP S.A.
S4	82937293	AF DO ESTADO DE SC S.A.
S4	13178690	AF ESTADO DE PERNAMBUCO S.A.
S4	3584906	AF PARAANA
S4	10769660	AFAL S.A.
S4	3183937	AFEAM
S4	2929977	AG. FOMENTO AMAPAA S.A.
S4	3058464	AG. FOMENTO ESTADO DE RORAIMA
S4	5474540	AG. FOMENTO ESTADO DO TOCANTINS
S4	3848103	AGENCIA DE FOMENTO DO RN S.A.
S4	6284531	AGENCIA DE FOMENTO MATO GROSSAO
S4	5940203	AGENCIA FOMENTO EST RJ S.A.
S4	3918382	AGENCIA FOMENTO GOIAS
S4	10664513	AGIPLAN FINANCEIRA S.A. - CFI - PRUDENCIAL
S4	250699	AGK CC S.A.
S4	36321990	AGORACRED S/A SCFI
S4	2678955	AKRO DTVM S.A.
S4	5452073	ALBATROSS CCV S.A
S4	3882245	ALPES CCTVM LTDA
S4	17312661	AMARIL FRANKLIN CTV LTDA
S4	16927221	AMAZONIA CC LTDA.
S4	48795256	ANDBANK - PRUDENCIAL
S4	12719654	APEAL CREDITO IMOBILIARIO S/A
S4	4684647	ARC CORRETORA CAMBIO S.A.
S4	14425205	ATICO DTVM LTDA.
S4	33775974	ATIVA S.A. INVESTIMENTOS CCTVM
S4	5956581	ATRIA S.A. - CFI
S4	3443143	AVIPAM CC LTDA.
S4	23862762	AVISTA S.A. CFI
S4	25280945	AVS CC LTDA.
S4	73622748	B & T ASSAOCIADOS CC LTDA.
S4	2885855	BADESUL DESENVOLVIMENTO AF/RS
S4	61688131	BALUARTE SA CC
S4	997185	BANCO BM&FBOVESPA - PRUDENCIAL
S4	62237425	BANCO FIDIS - PRUDENCIAL
S4	34270520	BANCO IBM S.A. - PRUDENCIAL
S4	23903068	BANCO KOMATSU DO BRASIL - PRUDENCIAL
S4	7441209	BANCO MONEO S.A. - PRUDENCIAL
S4	40429946	BANCO PORTO AREAL DE INVEST.S.A - PRUDENCIAL
S4	517645	BANCO RIBEIRAO PRETO - PRUDENCIAL
S4	795423	BANCO SEMEAR - PRUDENCIAL
S4	7679404	BANCO TOPAZIO S.A. - PRUDENCIAL
S4	9526594	BANCO VIPAL - PRUDENCIAL
S4	33884941	BANIF - PRUDENCIAL
S4	61146577	BARCLAYS - PRUDENCIAL
S4	556603	BARIGUI
S4	15114366	BBM - PRUDENCIAL
S4	45283173	BBVA BRASIL BI S.A. - PRUDENCIAL
S4	92874270	BANCO A.J. RENNER S.A. - PRUDENCIAL
S4	3532415	BANCO ABN AMRO S.A. - PRUDENCIAL
S4	54403563	BANCO ARBI S.A. - PRUDENCIAL
S4	15173776	BANCO CAPITAL S.A. - PRUDENCIAL
S4	3609817	BANCO CARGILL S.A. - PRUDENCIAL
S4	2658435	BANCO CATERPILLAR S.A. - PRUDENCIAL
S4	33132044	BANCO CEDULA S.A. - PRUDENCIAL
S4	10690848	BANCO DA CHINA BRASIL S.A. - PRUDENCIAL
S4	5040481	BANCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL
S4	28145829	BANCO DES. DO ES S.A. - PRUDENCIAL
S4	13009717	BANCO DO EST. DE SE S.A. - PRUDENCIAL
S4	4913711	BANCO DO EST. DO PA S.A. - PRUDENCIAL
S4	61348538	BANCO FICSA S.A. - PRUDENCIAL
S4	90731688	BANCO FORD S.A. - PRUDENCIAL
S4	31880826	BANCO GUANABARA S.A. - PRUDENCIAL
S4	33588252	BANCO INDUSCRED DE INVESTIM. S/A - PRUDENCIAL
S4	7656500	BANCO KDB BRASIL S.A. - PRUDENCIAL
S4	2318507	BANCO KEB DO BRASIL SA - PRUDENCIAL
S4	33042151	BANCO LA NACION ARGENTINA - PRUDENCIAL
S4	44189447	BANCO LA PROVINCIA B AIRES BCE - PRUDENCIAL
S4	59118133	BANCO LUSAO BRASILEIRO S.A. - PRUDENCIAL
S4	80271455	BANCO MAXINVEST S.A. - PRUDENCIAL
S4	30723886	BANCO MODAL S.A. - PRUDENCIAL
S4	253448	BANCO POTTENCIAL S.A. - PRUDENCIAL
S4	51938876	BANCO REP ORIENTAL URUGUAY BCE - PRUDENCIAL
S4	4866275	BANCO STANDARD INV S.A. - PRUDENCIAL
S4	3215790	BANCO TOYOTA DO BRASIL S.A. - PRUDENCIAL
S4	17351180	BANCO TRIANGULO S.A. - PRUDENCIAL
S4	57839805	BANCO TRICURY S.A. - PRUDENCIAL
S4	15357060	BANCO WOORI BANK DO BRASIL S.A. - PRUDENCIAL
S4	20443996	BECKER FINANCEIRA SA - CFI
S4	13059145	BEXS - PRUDENCIAL
S4	33862244	BGC LIQUIDEZ DTVM LTDA
S4	11285104	BIORC FINANCEIRA - CFI S.A.
S4	4452473	BMW
S4	42272526	BNY MELLON - PRUDENCIAL
S4	6373777	BOA VIAGEM SCC LTDA.
S4	71027866	BONSUCESSAO - PRUDENCIAL
S4	61033106	BPN BRASIL BM S.A. - PRUDENCIAL
S4	13220493	BR PARATNERS - PRUDENCIAL
S4	45246410	BRASIL PLURAL - PRUDENCIAL
S4	44077014	BR-CAPITAL DTVM S.A.
S4	12865507	BRICKELL S.A. CFI
S4	13486793	BRL TRUST DTVM SA
S4	16944141	BROKER BRASIL CC LTDA.
S4	33923111	BROOKFIELD
S4	17904906	BRX CC LTDA.
S4	10694628	C H B - CIA HIPOT. BRASILEIRA
S4	33466988	CAIXA GERAL - PRUDENCIAL
S4	14652687	CAMBIALL CASH CC LTDA.
S4	14190547	CAMBIONET CC LTDA
S4	62237649	CAROL DTVM LTDA.
S4	9313766	CARUANA SCFI
S4	15761217	CC ACORIANA LTDA.
S4	4243780	CENTRAL DAS COOPERATIVAS DE CREDITO DO BRASIL CENTRAL, AMAZONAS OCIDENTAL E MUNICIPIO DE UB
S4	62931522	CENTRAL DAS COOPERATIVAS DE CREDITO DO ESTADO DE SAO PAULO - SICOOB CENTRAL CECRESP
S4	106180	CENTRAL DAS COOPERATIVAS DE CREDITO DOS ESTADOS DE MATO GROSSAO E MATO GROSSAO DO SUL
S4	3618104	CENTRAL DAS COOPERATIVAS DE CREDITO MUTUO DO RIO GRANDE DO SUL
S4	5036532	CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB
S4	309024	CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE
S4	692214	CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO PLANALTO CENTRAL LTDA - SICOOB PLANALTO CENTRAL
S4	1634601	CENTRAL DE COOPERATIVAS DE ECONOMIA E CREDITO MUTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS
S4	18539102	CHG-MERIDIAN DO BRASIL AM S.A.
S4	16657210	CHLOE DTVM LTDA.
S4	2685483	CM CAPITAL MARKETS
S4	53263331	COBANSA CH S.A.
S4	9512542	CODEPE CVC S.A.
S4	336036	COINVALORES
S4	460065	COLUNA S.A. DTVM
S4	23522214	COMMERZBANK BRASIL - PRUDENCIAL
S4	87091716	COMPANHIA PROVINCIA DE CREDITO IMOBILIARIO
S4	52904364	CONCORDIA SA CVMC COMMODITIES
S4	18287740	CONECTA CC LTDA
S4	17635177	CONEXION CC LTDA.
S4	10398952	CONFEDERACAO NACIONAL DAS COOPERATIVAS CENTRAIS DE CREDITO E ECONOMIA FAMILIAR E SAOLIDARIA - CONFESAOL
S4	315557	CONFEDERACAO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED'S - UNICRED DO BRASIL
S4	11703662	CONFIDENCE - PRUDENCIAL
S4	15168152	CONSEGTUR CC LTDA
S4	95424891	COOPERATIVA   DE   CREDITO   DE  LIVRE  ADMISSAO  DE  ASSAOCIADOS DO VALE DO RIO PARADO - SICREDI VALE DO RIO PARADO RS
S4	34148882	COOPERATIVA CENTRAL DE CREDITO DA BAHIA - SICOOB CENTRAL BA
S4	33416108	COOPERATIVA CENTRAL DE CREDITO DE GOIAS LTDA
S4	33737818	COOPERATIVA CENTRAL DE CREDITO DE MATO GROSSAO DO SUL, GOIAS, DISTRITO FEDERAL E TOCANTINS - CENTRAL SICREDI BRASIL CENTRAL
S4	25683434	COOPERATIVA CENTRAL DE CREDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS
S4	80160260	COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS
S4	33667205	COOPERATIVA CENTRAL DE CREDITO DO CENTRO NORTE DO BRASIL   CENTRAL SICREDI CENTRO NORTE
S4	32428294	COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES
S4	63917579	COOPERATIVA CENTRAL DE CREDITO DO ESTADO DE SAO PAULO - SICOOB SAO PAULO
S4	3502131	COOPERATIVA CENTRAL DE CREDITO DO NORTE DO BRASIL - SICOOB NORTE
S4	70119680	COOPERATIVA CENTRAL DE CREDITO DO NORTE/NORDESTE E CENTRAL SICREDI NORTE/NORDESTE
S4	14568725	COOPERATIVA CENTRAL DE CREDITO DO RIO DE JANEIRO LTDA.
S4	4632856	COOPERATIVA CENTRAL DE CREDITO NOROESTE BRASILEIRO LTDA.
S4	21198087	COOPERATIVA CENTRAL DE CREDITO RURAL COM INTERACAO SAOLIDARIA   CENTRAL CRESAOL SICOPER
S4	1401771	COOPERATIVA CENTRAL DE CREDITO RURAL COM INTERACAO SAOLIDARIA - CENTRAL CRESAOL BASER
S4	7202627	COOPERATIVA CENTRAL DE CREDITO RURAL COM INTERACAO SAOLIDARIA - CRESAOL CENTRAL SC/RS
S4	5463212	COOPERATIVA CENTRAL DE CREDITO URBANO - CECRED
S4	543968	COOPERATIVA CENTRAL DE ECONOMIA E CREDITO MUTUO DAS UNICREDS DE SANTA CATARINA E DO PARAANA LTDA - UNICRED CENTRAL SC/PR
S4	73085573	COOPERATIVA CENTRAL DE ECONOMIA E CREDITO MUTUO DAS UNICREDS DO ESTADO DE SAO PAULO - UNICRED CENTRAL SP
S4	86774775	COOPERATIVA CENTRAL DE ECONOMIA E CREDITO MUTUO DAS UNICREDS DO ESTADO DO RIO DE JANEIRO E DO MATO GROSSAO LTDA   UNICRED CENTRAL RJ/MT
S4	53935029	COOPERATIVA DE CRUDITO COOCRELIVRE
S4	54037916	COOPERATIVA DE CREDITO CREDICITRUS
S4	67096909	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DA ALTA MOGIANA
S4	44469161	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DA REGIAO DE GUARIBA
S4	25798596	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DA REGIAO DE VARGINHA LTDA - SICOOB CREDIVAR
S4	87795639	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS ALIANCA RS/SC - SICREDI ALIANCA RS/SC
S4	87779625	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS ALTO JACUI - SICREDI ALTO JACUI RS
S4	87733770	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC
S4	92555150	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS ALTOS DA SERRA - SICREDI ALTOS DA SERRA RS/SC
S4	87900601	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS BOTUCARAI - SICREDI BOTUCARAI RS
S4	88099247	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS CELEIRO - SICREDI CELEIRO RS/SC
S4	3566655	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS CELEIRO CENTRO OESTE - SICREDI CELEIRO CENTRO OESTE
S4	88471024	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS CENTRO LESTE - SICREDI CENTRO LESTE RS
S4	95594941	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DA REGIAO CENTRO DO RGS - SICREDI REGIAO CENTRO
S4	89468565	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DA REGIAO DA PRODUCAO - SICREDI REGIAO DA PRODUCAO
S4	6332931	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DA REGIAO SUDOESTE DE GOIAS - SICREDI SUDOESTE GO
S4	90497256	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DA ZONA SUL - SICREDI ZONA SUL RS
S4	87900411	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DE ESPUMOSAO - SICREDI ESPUMOSAO RS
S4	89990501	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DE IBIRAIARAS - SICREDI IBIRAIARAS - RS
S4	33021064	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DO ARAGUAIA E XINGU - SICREDI ARAXINGU
S4	26408161	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DO CENTRO SUL DO MATO GROSSAO DO SUL - SICREDI CENTRO-SUL MS
S4	10772401	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DO NORDESTE DO PARAA - SICREDI NORDESTE PA
S4	33022690	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DO NOROESTE DE MATO GROSSAO E ACRE - SICREDI NOROESTE MT E ACRE
S4	87780268	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC
S4	10736214	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DO PLANALTO CENTRAL - SICREDI PLANALTO CENTRAL
S4	26549311	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DO SUL DE MATO GROSSAO - SICREDI SUL MT
S4	3793242	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DO SUL DO ESTADO DE SANTA CATARINA   SICREDI SUL SC
S4	10348181	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DO VALE DO ITAJAI E LITORAL CATARINENSE - SICREDI VALE LITORAL SC
S4	70431630	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS DO VALE DO JURUENA - SICREDI UNIVALES MT/RO
S4	95213211	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS ENCOSTA SUPERIOR DO NORDESTE RS - SICREDI NORDESTE RS
S4	87781530	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS INTEGRACAO DE ESTADOS DO RIO GRANDE DO SUL E SANTA CATARINA - SICREDI INTEGRACAO DE ESTADOS RS/SC
S4	87510475	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS INTEGRACAO ROTA DAS TERRAS - SICREDI INTEGRACAO ROTA DAS TERRAS RS
S4	89049738	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS NOROESTE DO RIO GRANDE DO SUL - SICREDI NOROESTE RS
S4	37442605	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS NORTE MATO-GROSSENSE - SICREDI NORTE MT
S4	87853206	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS OURO BRANCO - SICREDI OURO BRANCO RS
S4	87733077	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS PAMPA GAUCHO - SICREDI PAMPA GAUCHO
S4	26408187	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS PANTANAL DO MATO GROSSAO DO SUL - SICREDI PANTANAL MS
S4	88038260	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS PLANALTO   SICREDI PLANALTO RS/SC
S4	88894548	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS SERRO AZUL - SICREDI UNIAO RS
S4	24654881	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS UNIAO DOS ESTADOS DE MATO GROSSAO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIAO MS/TO
S4	32983165	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS VALE DO CERRADO - SICREDI VALE DO CERRADO
S4	87780284	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSAOCIADOS VALE DO JAGUARI - SICREDI VALE DO JAGUARI RS
S4	966246	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ITAI-PARAANAPANEMA-AVARE
S4	42873828	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO SUDOESTE DE MINAS GERAIS E NORDESTE DE SAO PAULO LTDA - SICOOB AGROCREDI
S4	67960229	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO VALE DO MOGI GUACU E SUDOESTE PAULISTA - SICOOB CREDIGUACU
S4	81099491	COOPERATIVA DE CREDITO DE LIVRE ADMISSAO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP
S4	54401286	COOPERATIVA DE CREDITO DOS FORNECEDORES DE CANA, AGROPECUARISTAS E EMPRESARIOS DA REGIAO DE PIRACICABA
S4	71328769	COOPERATIVA DE CREDITO DOS PRODUTORES RURAIS E EMPRESARIOS DO INTERIOR PAULISTA
S4	82527557	COOPERATIVA DE CREDITO E DE INVESTIMENTO DE LIVRE ADMISSAO FRONTEIRAS DO IGUACU E SUDESTE PAULISTA - SICREDI FRONTEIRAS PR/SC/SP
S4	79457883	COOPERATIVA DE CREDITO E INVESTIMENTO DE LIVRE ADMISSAO AGROEMPRESARIAL - SICREDI AGROEMPRESARIAL PR/SP
S4	84974278	COOPERATIVA DE CREDITO E INVESTIMENTO DE LIVRE ADMISSAO IGUACU - SICREDI IGUACU PR/SC/SP
S4	81054686	COOPERATIVA DE CREDITO E INVESTIMENTO DE LIVRE ADMISSAO INTEGRACAO - SICREDI INTEGRACAO PR/SC
S4	76059997	COOPERATIVA DE CREDITO E INVESTIMENTO DE LIVRE ADMISSAO PROGRESSAO - SICREDI PROGRESSAO PR/SP
S4	79342069	COOPERATIVA DE CREDITO E INVESTIMENTO DE LIVRE ADMISSAO UNIAO PARAANA/SAO PAULO - SICREDI UNIAO PR/SP
S4	78414067	COOPERATIVA DE CREDITO E INVESTIMENTO DE LIVRE ADMISSAO VANGUARDA DA REGIAO DAS CATARATAS DO IGUACU E VALE DO PARAAIBA - SICREDI VANGUARDA PR/SP/RJ
S4	2924977	COOPERATIVA DE CREDITO MUTUO DOS PROFISSIONAIS MEDICOS E DA SAUDE DE CURITIBA E REGIAO METROPOLITANA - SICREDI MEDICRED PR
S4	8418804	COOPERATIVA DE CREDITO SAOLIDARIO DA AGRICULTURA FAMILIAR DO OESTE POTIGUAR - CREDIOESTE-SAOL
S4	92796564	COOPERATIVA DE CREDITO SUL RIOGRANDENSE - SICREDI UNIAO METROPOLITANA RS
S4	184068	COOPERATIVA DE CREDITO UNICRED CENTRAL MULTIRREGIAONAL LTDA. - UCM
S4	79052122	COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO ALIANCA - SICREDI ALIANCA PR/SP
S4	81466286	COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP
S4	87067757	COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO CENTRO SERRA - SICREDI CENTRO SERRA RS
S4	89126130	COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO DA REGIAO DOS VALES - SICREDI REGIAO DOS VALES RS
S4	90608712	COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS
S4	91159764	COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO DE LAJEADO - SICREDI VALE DO TAQUARI RS
S4	32995755	COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA
S4	26529420	COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO OURO VERDE DO MATO GROSSAO - SICREDI OURO VERDE MT
S4	79086997	COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO PARAANAPANEMA PR/SP - SICREDI PARAANAPANEMA PR/SP
S4	82065285	COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO PARAQUE DAS ARAUCARIAS - SICREDI PARAQUE DAS ARAUCARIAS PR/SC/SP
S4	91586982	COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS
S4	26555235	COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO SAORRISAO - SICREDI CELEIRO DO MT
S4	33370115	COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DE FURNAS E DEMAIS EMPRESAS DO SISTEMA ELETROBRAS LTDA.
S4	62673470	COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS POLICIAIS MILITARES E SERVIDORES DA SECRETARIA DOS NEGOCIOS DA SEGURANCA PUBLICA DO ESTADO DE SAO PAULO
S4	80202872	CORREPARATI CC LTDA
S4	4623781	CORRET. AMAZONENSE CAMBIO LTDA
S4	62264924	CP & FRIZZO - DTVM LTDA
S4	81723108	CREDICOAMO CREDITO RURAL COOPERATIVA
S4	12599971	CREDITA S.A. CFI
S4	60779196	CREFISA S.A. CFI
S4	5883884	CSILATINA A.M. S.A.
S4	27406222	DACASA FINANCEIRA
S4	65645137	DASCAM CC LTDA
S4	77162881	DEBONI DTVM LTDA
S4	94968518	DECYSEO CC LTDA.
S4	15163587	DESENBAHIA AG FOMENTO BAHIA SA
S4	23511655	DEUTSCHE LEASING BRASIL AM S.A.
S4	62280490	DIBRAN DTVM LTDA
S4	33851064	DILLON S/A DTVM
S4	58158387	DIRECAO S.A. CFI
S4	10372647	DOMUS CH
S4	76641497	DOURADA CORRETORA
S4	62169875	EASYNVEST - TITULO CV SA
S4	89784367	EBADIVAL - E BAGGIO DTVM LTDA
S4	17441197	ECONOMISA
S4	28048783	ELITE - CCVM LTDA
S4	17305319	ESC RUY LAGE SAOC CT LTDA
S4	5351887	ESTRELA MINEIRA
S4	34190991	EUROINVEST S/A CCTVM
S4	19086249	EXECUTIVE CC LTDA.
S4	73302408	EXIM CC LTDA
S4	8673569	F D GOLD DTVM LTDA
S4	15581638	FACTA S.A. CFI
S4	32648370	FAIR CC S.A.
S4	53146221	FAMILIA PAULISTA
S4	33644196	FATOR - PRUDENCIAL
S4	10280601	FIDUCIAL DTVM LTDA
S4	411939	FINAMAX S.A. CFI
S4	91669747	FINANSINOS S.A. CFI
S4	329598	FOCO DTVM LTDA
S4	40353377	FOURTRADE COR. DE CAMBIO LTDA
S4	13673855	FRAM CAPITAL DTVM S.A.
S4	71677850	FRENTE CC LTDA.
S4	18684408	FUTURAINVEST DTVM
S4	7253654	GAVEA DTVM LTDA
S4	11760553	GAZINCRED S.A. SCFI
S4	10749264	GDC PARAT SERV FIDUC DTVM LTDA
S4	92858380	GERAL CCVM LTDA
S4	10853017	GET MONEY CC LTDA
S4	21040668	GLOBAL EXCHANGE BR SAOC. CC LTDA
S4	7631026	GOLCRED S/A - CFI
S4	23010182	GOOD CC LTDA
S4	65982589	GRACO C.C. S.A.
S4	33918160	GRADUAL CCTVM S.A.
S4	6339468	GRAZZIOTIN FINANCIADORA SA CFI
S4	24074692	GUITTA CC LTDA
S4	1788147	H.COMMCOR DTVM LTDA.
S4	17312083	H.H.PICCHIONI
S4	3634220	HONDA - PRUDENCIAL
S4	34974170	HOYA CVC LTDA.
S4	97406706	HP FINANCIAL SERVICES AM S.A
S4	7512441	HS FINANCEIRA
S4	53518684	HSBC - PRUDENCIAL
S4	9105360	ICAP DO BRASIL CTVM LTDA.
S4	72556996	ICARO CC LTDA
S4	3282508	ICATU DTVM LTDA
S4	17453575	ICBC DO BRASIL BM S.A. - PRUDENCIAL
S4	31895683	INDUSTRIAL DO BRASIL - PRUDENCIAL
S4	61024352	INDUSVAL - PRUDENCIAL
S4	3014007	INFINITY CCTVM S.A.
S4	34265629	INTERCAM CC LTDA
